wheat mill run,wheat millrun,,,,,,,,,,,,,file fish,filefish
wheat middlings,wheat millrun,,,,,,,,,,,,,farm raised fish,fish farm
millfeed,wheat millrun,,,,,,,,,,,,,fishmeal,fish meal
wheat midds,wheat millrun,,,,,,,,,,,,,aspirate,fluid - aspirate
molassess,molasses,,,,,,,,,,,,,food (starch),food (starch or flour thickened)
mola fish,molafish,,,,,,,,,,,,,food (flour thickened),food (starch or flour thickened)
mola mola,molafish,,,,,,,,,,,,,food starch,food (starch or flour thickened)
moilla fish,molafish,,,,,,,,,,,,,food flour thickened,food (starch or flour thickened)
moila fish,molafish,,,,,,,,,,,,,ready to consume,food ready-to-consume
moillafish,molafish,,,,,,,,,,,,,ready-to-consume,food ready-to-consume
moilafish,molafish,,,,,,,,,,,,,ready to cook,food ready-to-cook
mulukhiyah,nalta jute,,,,,,,,,,,,,ready-to-cook,food ready-to-cook
mloukhiya,nalta jute,,,,,,,,,,,,,ready to eat,food ready-to-eat
molokhia,nalta jute,,,,,,,,,,,,,ready-to-eat,food ready-to-eat
molokhiya,nalta jute,,,,,,,,,,,,,ready to serve,food ready-to-serve
mulukhiyya,nalta jute,,,,,,,,,,,,,ready-to-serve,food ready-to-serve
malukhiyah,nalta jute,,,,,,,,,,,,,feed supplement,food supplement or dietary integrator 
moroheiya,nalta jute,,,,,,,,,,,,,food supplement ,food supplement or dietary integrator 
corchorus olitorius leaves,nalta jute,,,,,,,,,,,,,meal supplement,food supplement or dietary integrator 
Jew's mallow,nalta jute,,,,,,,,,,,,,forward thinking,forward-thinking
tossa jute,nalta jute,,,,,,,,,,,,,french blue,french blue
morita pepper,morita chili,,,,,,,,,,,,,"fruit yoghurt (no added sugar, energy 2.0 mj)","fruit yoghurt (no added sugar, energy 2.0 mj or less)"
mullen leaves,mullein leaves,,,,,,,,,,,,,fruit yoghurt (less),"fruit yoghurt (no added sugar, energy 2.0 mj or less)"
murine,mouse,,,,,,,,,,,,,"fruit yoghurt no added sugar, energy 2.0 mj","fruit yoghurt (no added sugar, energy 2.0 mj or less)"
nigella seeds,black cumin seeds,,,,,,,,,,,,,fruit yoghurt less,"fruit yoghurt (no added sugar, energy 2.0 mj or less)"
nigella,black cumin,,,,,,,,,,,,,fruit yoghurt (reduced fat),fruit yoghurt (reduced fat or skim milk)
pork primal,pork primal cuts,,,,,,,,,,,,,fruit yoghurt (skim milk),fruit yoghurt (reduced fat or skim milk)
piper nigrum,black pepper,,,,,,,,,,,,,fruit yoghurt reduced fat,fruit yoghurt (reduced fat or skim milk)
ocopa,smooth sauce,,,,,,,,,,,,,fruit yoghurt skim milk,fruit yoghurt (reduced fat or skim milk)
aframomum melegueta ,alligator pepper,,,,,,,,,,,,,full length.,full-length.
ossame,alligator pepper,,,,,,,,,,,,,galacto oligosaccharides,galactooligosaccharides
grains of paradise,alligator pepper,,,,,,,,,,,,,galda,galdafish
melegueta pepper,alligator pepper,,,,,,,,,,,,,sprouted,germinated or sprouted seed
guinea grains,alligator pepper,,,,,,,,,,,,,germinated,germinated or sprouted seed
fom wisa,alligator pepper,,,,,,,,,,,,,sprouted seed,germinated or sprouted seed
guinea pepper,alligator pepper,,,,,,,,,,,,,germinated seed,germinated or sprouted seed
Herbs de Provence,Herb of Provence,,,,,,,,,,,,,tiger shrimp,giant tiger prawn
whiteleg shrimp ,litopenaeus vannamei,,,,,,,,,,,,,gold band,goldband
white shrimp,litopenaeus vannamei,,,,,,,,,,,,,nemipterus virgatus,golden threadfin bream
penaeus vannamei,litopenaeus vannamei,,,,,,,,,,,,,good looking ,good-looking 
pacific white shrimp,litopenaeus vannamei,,,,,,,,,,,,,grounded,ground 
king prawn,litopenaeus vannamei,,,,,,,,,,,,,grounded,ground 
vannamei,litopenaeus vannamei,,,,,,,,,,,,,guajillo chili,guajillo pepper
centella asiatica,asiatic pennywort,,,,,,,,,,,,,gulsha fish,gulshafish
centella,asiatic pennywort,,,,,,,,,,,,,burger,hamburger
gotu kola,asiatic pennywort,,,,,,,,,,,,,hands on,hands-on
pennywort,asiatic pennywort,,,,,,,,,,,,,havarti,havarti cheese
pilau,pilaf,,,,,,,,,,,,,helianthus camade ,helianthus 
